==32507== NVPROF is profiling process 32507, command: ./jacobi
==32507== Profiling application: ./jacobi
==32507== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"API calls",0.001385,0.006513,3,2.171000,1.105000,3.666000,"cuPointerGetAttributes"
"API calls",0.001343,0.006316,3,2.105000,0.281000,5.114000,"cuCtxSetCurrent"
"API calls",0.001030,0.004847,3,1.615000,0.210000,3.479000,"cuModuleGetFunction"
"API calls",0.001006,0.004731,2,2.365000,0.947000,3.784000,"cuEventCreate"
"API calls",0.000481,0.002262,3,0.754000,0.695000,0.863000,"cuDeviceGetCount"
"API calls",0.000252,0.001187,4,0.296000,0.162000,0.501000,"cuDeviceGetAttribute"
"API calls",0.000234,0.001099,2,0.549000,0.315000,0.784000,"cuDeviceGet"
"API calls",0.000114,0.000534,1,0.534000,0.534000,0.534000,"cuDeviceComputeCapability"
"API calls",0.000089,0.000418,1,0.418000,0.418000,0.418000,"cuCtxGetCurrent"
"API calls",0.000087,0.000409,1,0.409000,0.409000,0.409000,"cuDriverGetVersion"
"OpenACC (excl)",26.461997,51.431544,2000,25.715000,3.069000,50.437000,"acc_wait@laplace2d.c:47"
"OpenACC (excl)",20.995724,40.807293,1000,40.807000,35.192000,268.457000,"acc_wait@laplace2d.c:63"
"OpenACC (excl)",16.815561,32.682729,1,32682.729000,32682.729000,32682.729000,"acc_enter_data@jacobi.c:51"
"OpenACC (excl)",5.034656,9.785359,1000,9.785000,9.122000,31.622000,"acc_enqueue_download@laplace2d.c:58"
"OpenACC (excl)",5.012219,9.741749,1000,9.741000,9.113000,25.025000,"acc_enqueue_launch@laplace2d.c:63 (swap_63_gpu)"
"OpenACC (excl)",4.676870,9.089966,1000,9.089000,8.471000,49.925000,"acc_enqueue_launch@laplace2d.c:47 (calcNext_47_gpu)"
"OpenACC (excl)",4.044628,7.861140,1000,7.861000,6.250000,571.301000,"acc_enqueue_launch@laplace2d.c:47 (calcNext_47_gpu__red)"
"OpenACC (excl)",3.651788,7.097615,1000,7.097000,4.830000,562.305000,"acc_wait@laplace2d.c:58"
"OpenACC (excl)",2.712480,5.271977,1000,5.271000,4.755000,15.121000,"acc_enqueue_upload@laplace2d.c:47"
"OpenACC (excl)",2.589761,5.033460,2000,2.516000,1.197000,553.465000,"acc_enter_data@laplace2d.c:47"
"OpenACC (excl)",2.563926,4.983248,2000,2.491000,1.257000,42.608000,"acc_exit_data@laplace2d.c:47"
"OpenACC (excl)",1.213380,2.358325,1000,2.358000,2.187000,22.362000,"acc_compute_construct@laplace2d.c:47"
"OpenACC (excl)",1.052261,2.045175,1000,2.045000,1.883000,6.837000,"acc_compute_construct@laplace2d.c:63"
"OpenACC (excl)",1.024326,1.990881,1,1990.881000,1990.881000,1990.881000,"acc_wait@jacobi.c:62"
"OpenACC (excl)",0.826029,1.605470,1000,1.605000,1.442000,3.026000,"acc_enter_data@laplace2d.c:63"
"OpenACC (excl)",0.774847,1.505993,1000,1.505000,1.330000,6.567000,"acc_exit_data@laplace2d.c:63"
"OpenACC (excl)",0.384396,0.747112,1,747.112000,747.112000,747.112000,"acc_wait@jacobi.c:51"
"OpenACC (excl)",0.126669,0.246194,1,246.194000,246.194000,246.194000,"acc_device_init@jacobi.c:51"
"OpenACC (excl)",0.030950,0.060154,2,30.077000,14.938000,45.216000,"acc_enqueue_upload@jacobi.c:51"
"OpenACC (excl)",0.004913,0.009548,1,9.548000,9.548000,9.548000,"acc_enqueue_download@jacobi.c:62"
"OpenACC (excl)",0.002619,0.005090,1,5.090000,5.090000,5.090000,"acc_exit_data@jacobi.c:51"
"OpenACC (excl)",0.000000,0.000000,1000,0.000000,0.000000,0.000000,"acc_create@laplace2d.c:47"
"OpenACC (excl)",0.000000,0.000000,2,0.000000,0.000000,0.000000,"acc_alloc@jacobi.c:51"
"OpenACC (excl)",0.000000,0.000000,2,0.000000,0.000000,0.000000,"acc_create@jacobi.c:51"
"OpenACC (excl)",0.000000,0.000000,1000,0.000000,0.000000,0.000000,"acc_delete@laplace2d.c:58"
"OpenACC (excl)",0.000000,0.000000,2,0.000000,0.000000,0.000000,"acc_delete@jacobi.c:62"
"OpenACC (excl)",0.000000,0.000000,1,0.000000,0.000000,0.000000,"acc_alloc@laplace2d.c:47"

==32507== System profiling result:
"","Device","Count","Avg","Min","Max"
"SM Clock (MHz)","Tesla P100-PCIE-16GB (0)",7,1328.000000,1328.000000,1328.000000
"Memory Clock (MHz)","Tesla P100-PCIE-16GB (0)",7,715.000000,715.000000,715.000000
"Temperature (C)","Tesla P100-PCIE-16GB (0)",13,29.000000,29.000000,29.000000
"Power (mW)","Tesla P100-PCIE-16GB (0)",13,53875.846154,38551.000000,87585.000000
